7 1:13.000000 2:239.000000 3:3.141593 4:0.218468 5:166.000000 6:0.167782 7:0.395337 8:-0.380470 9:0.351698 10:0.840492 11:0.215009 12:0.326526 13:0.761802 14:-0.655140 15:0.152138 16:-1.044122 17:0.595000 18:0.714465 19:28627.335245 20:25749.792634 21:31046.000000 22:25749.792634 23:31046.000000 24:0.105221 25:0.003153 26:0.514497 27:0.049100 28:0.133344 29:0.015498 30:0.021843 31:0.000125 32:0.001611 33:0.035279 34:0.120329
7 1:12.000000 2:138.000000 3:3.141593 4:0.259070 5:279.000000 6:0.194794 7:0.439055 8:-0.667658 9:0.124706 10:0.617229 11:-0.064665 12:0.052083 13:-0.884065 14:0.582482 15:-0.860231 16:-1.120428 17:-0.187415 18:0.728765 19:11635.194385 20:21196.915123 21:4847.000000 22:21196.915123 23:4847.000000 24:0.077085 25:0.005843 26:0.099396 27:0.268839 28:0.007642 29:0.000720 30:0.008946 31:0.008742 32:0.010471 33:0.511618 34:0.000700
7 1:11.000000 2:9.000000 3:3.141593 4:0.289378 5:321.000000 6:0.141915 7:0.559091 8:0.542586 9:0.638412 10:-0.018638 11:-0.115543 12:-0.201795 13:0.435653 14:-0.337805 15:0.337244 16:1.291724 17:0.839521 18:0.694641 19:10967.595803 20:7808.597152 21:14182.000000 22:7808.597152 23:14182.000000 24:0.263493 25:0.006444 26:0.002345 27:0.074233 28:0.578867 29:0.000000 30:0.001150 31:0.000020 32:0.000000 33:0.059560 34:0.013888
7 1:3.000000 2:128.000000 3:3.124139 4:0.137459 5:307.000000 6:0.207818 7:0.559091 8:2.475970 9:-2.964230 10:-1.467406 11:-0.376671 12:0.579832 13:0.244834 14:1.225822 15:2.269487 16:0.969804 17:0.261902 18:0.821283 19:1193.660413 20:449.916760 21:2696.000000 22:449.916760 23:2696.000000 24:0.210209 25:0.000000 26:0.029722 27:0.625017 28:0.000285 29:0.000000 30:0.109724 31:0.000000 32:0.000000 33:0.025042 34:0.000000
7 1:20.000000 2:2.000000 3:3.141593 4:0.540606 5:257.000000 6:0.227212 7:0.559091 8:-0.966060 9:-0.702893 10:0.993755 11:-1.682261 12:1.451241 13:1.712169 14:-2.075780 15:-1.190818 16:-1.909914 17:-1.845256 18:0.955198 19:6534.734393 20:8924.917815 21:6959.000000 22:8924.917815 23:6959.000000 24:0.945125 25:0.000000 26:0.000000 27:0.032650 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.022224 34:0.000000
7 1:3.000000 2:155.000000 3:2.042035 4:0.125407 5:0.000000 6:0.000000 7:0.559091 8:-0.315081 9:0.070499 10:-0.317642 11:-0.169883 12:0.025572 13:-0.056683 14:-0.228241 15:0.219219 16:-0.970545 17:-0.320208 18:0.743682 19:2848.026002 20:5097.801612 21:1105.000000 22:5097.801612 23:1105.000000 24:0.340199 25:0.016201 26:0.271171 27:0.035375 28:0.248367 29:0.000000 30:0.021557 31:0.000000 32:0.000035 33:0.067066 34:0.000030
7 1:14.000000 2:66.000000 3:3.141593 4:0.270086 5:197.000000 6:0.211527 7:0.188631 8:-0.929354 9:2.090080 10:2.385409 11:-1.780304 12:-1.048485 13:-0.703761 14:-0.473306 15:-0.011230 16:1.605762 17:-0.510945 18:0.752374 19:6976.724566 20:6387.311990 21:7125.000000 22:6387.311990 23:7125.000000 24:0.045280 25:0.000040 26:0.293722 27:0.029385 28:0.497436 29:0.002339 30:0.000621 31:0.000110 32:0.022354 33:0.000756 34:0.107956
7 1:2.000000 2:83.000000 3:3.141593 4:0.105127 5:225.000000 6:0.176128 7:0.535401 8:0.129980 9:-0.107576 10:-0.048286 11:0.122380 12:0.028088 13:0.071648 14:-0.010813 15:-0.042011 16:0.177252 17:-0.012283 18:0.778931 19:3559.820976 20:2963.050125 21:3998.000000 22:2963.050125 23:3998.000000 24:0.124876 25:0.061638 26:0.044116 27:0.366626 28:0.037154 29:0.000545 30:0.016006 31:0.000850 32:0.014790 33:0.333398 34:0.000000
7 1:6.000000 2:190.000000 3:3.141593 4:0.148652 5:443.000000 6:0.307583 7:0.305011 8:0.211491 9:0.082988 10:0.018397 11:0.075997 12:-0.503797 13:0.132713 14:-0.398584 15:-0.010987 16:0.455184 17:0.234496 18:0.718980 19:8354.113022 20:14538.523579 21:3776.000000 22:14538.523579 23:3776.000000 24:0.017035 25:0.196520 26:0.001925 27:0.026165 28:0.000520 29:0.015855 30:0.002685 31:0.004175 32:0.010470 33:0.724650 34:0.000000
7 1:3.000000 2:207.000000 3:2.984513 4:0.125579 5:236.000000 6:0.209842 7:0.559091 8:0.448139 9:-0.297882 10:0.086033 11:0.260210 12:0.074546 13:0.010715 14:-0.352799 15:-0.484004 16:0.215976 17:1.114983 18:0.766125 19:4498.478814 20:7774.712208 21:2230.000000 22:7774.712208 23:2230.000000 24:0.192375 25:0.000000 26:0.281711 27:0.000020 28:0.003445 29:0.212489 30:0.000050 31:0.000015 32:0.000195 33:0.050122 34:0.259580
7 1:10.000000 2:9.000000 3:3.141593 4:0.397172 5:237.000000 6:0.194428 7:0.559091 8:0.784977 9:0.355928 10:0.669258 11:0.410167 12:0.454450 13:0.374795 14:-0.735461 15:-0.654278 16:0.696767 17:0.577125 18:0.865883 19:3892.194167 20:4907.669425 21:3082.000000 22:4907.669425 23:3082.000000 24:0.263627 25:0.275848 26:0.227828 27:0.045373 28:0.000871 29:0.000000 30:0.021916 31:0.138097 32:0.011296 33:0.015119 34:0.000025
7 1:7.000000 2:132.000000 3:3.141593 4:0.261898 5:248.000000 6:0.294537 7:0.371844 8:-0.100255 9:0.457160 10:0.217005 11:-0.539550 12:0.655512 13:0.924250 14:-0.368466 15:0.343752 16:0.040338 17:1.679786 18:0.732988 19:5993.116592 20:7844.364593 21:4089.000000 22:7844.364593 23:4089.000000 24:0.256770 25:0.000000 26:0.646843 27:0.000851 28:0.003779 29:0.003223 30:0.000010 31:0.000025 32:0.000005 33:0.017767 34:0.070728
7 1:2.000000 2:93.000000 3:3.141593 4:0.104408 5:210.000000 6:0.173485 7:0.559091 8:-0.247933 9:-0.351049 10:0.321785 11:0.247427 12:-0.050749 13:0.021788 14:-0.203723 15:0.102326 16:-0.034988 17:0.062728 18:0.742850 19:2045.976106 20:2200.638879 21:1763.000000 22:2200.638879 23:1763.000000 24:0.438981 25:0.399175 26:0.000000 27:0.014286 28:0.017132 29:0.000000 30:0.000115 31:0.008138 32:0.000000 33:0.122174 34:0.000000
7 1:52.000000 2:67.000000 3:1.588250 4:2.401518 5:410.000000 6:0.158027 7:0.348866 8:-0.302848 9:0.331381 10:-0.370684 11:-0.333962 12:-0.041053 13:0.638927 14:0.517699 15:0.452698 16:0.994357 17:0.140329 18:0.711928 19:1139.524302 20:1059.845756 21:1503.000000 22:1059.845756 23:1503.000000 24:0.244914 25:0.000000 26:0.176093 27:0.331432 28:0.027546 29:0.000000 30:0.011706 31:0.000000 32:0.000000 33:0.206782 34:0.001526
7 1:5.000000 2:83.000000 3:3.141593 4:0.131241 5:228.000000 6:0.176161 7:0.417311 8:-0.153159 9:0.188419 10:0.086541 11:-0.179721 12:0.354941 13:-0.537091 14:-0.239036 15:0.105226 16:-0.156610 17:-0.033099 18:0.781715 19:5235.503322 20:4640.354865 21:4973.000000 22:4640.354865 23:4973.000000 24:0.008433 25:0.000005 26:0.188660 27:0.005295 28:0.201818 29:0.051764 30:0.003183 31:0.000075 32:0.007397 33:0.066554 34:0.466816
7 1:6.000000 2:239.000000 3:3.141593 4:0.155121 5:513.000000 6:0.167183 7:0.530400 8:0.158045 9:-0.118135 10:-0.386527 11:0.499016 12:0.083936 13:0.257204 14:0.218647 15:0.086334 16:0.091498 17:-0.047587 18:0.676339 19:6703.881802 20:5197.573948 21:7008.000000 22:5197.573948 23:7008.000000 24:0.093542 25:0.005469 26:0.029289 27:0.508192 28:0.000005 29:0.000000 30:0.012695 31:0.001126 32:0.000065 33:0.349617 34:0.000000
7 1:8.000000 2:26.000000 3:0.715585 4:0.406232 5:250.000000 6:0.136739 7:0.559091 8:0.028076 9:0.198646 10:-0.283642 11:0.037814 12:0.271320 13:0.522784 14:0.036488 15:-0.158230 16:0.447264 17:0.831309 18:0.839578 19:3451.200564 20:2112.161525 21:4538.000000 22:2112.161525 23:4538.000000 24:0.034603 25:0.000195 26:0.000000 27:0.069167 28:0.000155 29:0.000000 30:0.000005 31:0.000075 32:0.000000 33:0.895800 34:0.000000
7 1:2.000000 2:256.000000 3:3.141593 4:0.090730 5:388.000000 6:0.203585 7:0.559091 8:-2.589370 9:-1.140941 10:-2.598315 11:2.953631 12:-3.809819 13:0.664317 14:-1.218754 15:0.185191 16:-0.578245 17:-1.413683 18:0.786948 19:5155.979519 20:5340.643713 21:4520.000000 22:5340.643713 23:4520.000000 24:0.375734 25:0.000075 26:0.292850 27:0.039443 28:0.267591 29:0.001536 30:0.002142 31:0.001592 32:0.007382 33:0.000926 34:0.010730
7 1:5.000000 2:116.000000 3:1.064651 4:0.185436 5:202.000000 6:0.197207 7:0.360887 8:0.954205 9:-1.657323 10:0.148247 11:0.421573 12:0.346019 13:0.756961 14:-0.053017 15:-0.076993 16:-0.044114 17:-0.493595 18:0.758633 19:7003.665921 20:6786.401334 21:6395.000000 22:6786.401334 23:6395.000000 24:0.103091 25:0.682877 26:0.003216 27:0.002004 28:0.161790 29:0.000240 30:0.009692 31:0.017711 32:0.018558 33:0.000711 34:0.000110
7 1:2.000000 2:255.000000 3:3.141593 4:0.114981 5:110.000000 6:0.132751 7:0.559091 8:-0.129398 9:0.023740 10:0.122682 11:-0.010238 12:0.091405 13:0.114197 14:-0.069124 15:-0.052311 16:0.106232 17:-0.131272 18:0.819845 19:2386.185839 20:2565.843278 21:2476.000000 22:2565.843278 23:2476.000000 24:0.100519 25:0.744980 26:0.005579 27:0.029056 28:0.000000 29:0.008626 30:0.041439 31:0.014226 32:0.000015 33:0.052517 34:0.003042
7 1:7.000000 2:49.000000 3:1.588250 4:0.378381 5:282.000000 6:0.191633 7:0.559091 8:-4.960654 9:5.035675 10:0.502976 11:2.897306 12:6.019201 13:-6.284329 14:-6.712626 15:-2.076330 16:5.183488 17:2.021101 18:0.804190 19:3258.300465 20:4542.465026 21:1429.000000 22:4542.465026 23:1429.000000 24:0.264234 25:0.000000 26:0.365610 27:0.000320 28:0.017049 29:0.200464 30:0.008987 31:0.000200 32:0.042730 33:0.000000 34:0.100407
7 1:5.000000 2:266.000000 3:3.141593 4:0.127373 5:236.000000 6:0.193427 7:0.464201 8:-0.127282 9:0.797291 10:-0.344074 11:0.154054 12:-0.094031 13:-0.482388 14:1.272467 15:-0.023338 16:2.107863 17:0.570312 18:0.735780 19:38064.835964 20:37533.928262 21:31815.000000 22:37533.928262 23:31815.000000 24:0.107199 25:0.000000 26:0.450622 27:0.050159 28:0.344583 29:0.000000 30:0.000035 31:0.000000 32:0.000000 33:0.009819 34:0.037583
7 1:3.000000 2:258.000000 3:3.141593 4:0.102877 5:250.000000 6:0.142227 7:0.135997 8:-0.058606 9:-0.115304 10:-0.051607 11:-1.379930 12:-0.349791 13:-0.506708 14:-0.128552 15:-1.080491 16:0.990000 17:-0.245374 18:0.746894 19:8072.600268 20:10528.040182 21:5957.000000 22:10528.040182 23:5957.000000 24:0.159814 25:0.813239 26:0.000000 27:0.000000 28:0.026707 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000240 34:0.000000
7 1:1.000000 2:240.000000 3:3.141593 4:0.072222 5:343.000000 6:0.128209 7:0.000000 8:0.794002 9:-0.851378 10:-0.045346 11:0.717813 12:-3.412906 13:-3.377612 14:1.108404 15:-0.678600 16:1.453900 17:-1.983501 18:0.749741 19:4635.494852 20:3808.291234 21:5409.000000 22:3808.291234 23:5409.000000 24:0.248573 25:0.059937 26:0.114201 27:0.132789 28:0.097120 29:0.000000 30:0.000771 31:0.255303 32:0.004933 33:0.086333 34:0.000040
7 1:5.000000 2:179.000000 3:3.141593 4:0.127838 5:112.000000 6:0.174914 7:0.559091 8:0.174362 9:0.084085 10:-0.288618 11:-0.056845 12:0.146335 13:0.341691 14:0.109811 15:0.188944 16:0.338811 17:-0.175789 18:0.741307 19:4534.435772 20:7460.335225 21:1125.000000 22:7460.335225 23:1125.000000 24:0.563543 25:0.000000 26:0.000000 27:0.392655 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.043802 34:0.000000
7 1:3.000000 2:255.000000 3:3.141593 4:0.118324 5:0.000000 6:0.000000 7:0.559091 8:0.085912 9:0.129344 10:-0.407440 11:-0.561663 12:0.174049 13:-0.131065 14:0.063847 15:0.112908 16:0.398629 17:0.175043 18:0.755181 19:1768.029251 20:2865.160286 21:780.000000 22:2865.160286 23:780.000000 24:0.559616 25:0.000000 26:0.016681 27:0.358209 28:0.011168 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.054327 34:0.000000
7 1:3.000000 2:213.000000 3:3.124139 4:0.135496 5:431.000000 6:0.121717 7:0.000000 8:-0.226725 9:-0.294546 10:-0.149442 11:0.118991 12:-0.312474 13:-0.024449 14:-0.044050 15:0.053727 16:0.147131 17:-0.152227 18:0.765710 19:1161.202708 20:1814.727014 21:320.000000 22:1814.727014 23:320.000000 24:0.012342 25:0.196210 26:0.000000 27:0.000095 28:0.000000 29:0.000000 30:0.002839 31:0.701504 32:0.000000 33:0.087010 34:0.000000
